arrow_count,has_left_1,has_right_1,has_forward_1,confidence_1,x_min_1,y_min_1,x_max_1,y_max_1,has_left_2,has_right_2,has_forward_2,confidence_2,x_min_2,y_min_2,x_max_2,y_max_2,has_left_3,has_right_3,has_forward_3,confidence_3,x_min_3,y_min_3,x_max_3,y_max_3,direction
1,1,0,0,0.6618626713752747,409.1953125,420.84649658203125,611.1781616210938,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
1,0,1,0,0.38529884815216064,0.02092742919921875,307.46734619140625,99.86846923828125,450.54095458984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
2,0,1,0,0.7438216805458069,0.228851318359375,0.0,465.545654296875,293.2464599609375,0,1,0,0.7213261127471924,0.23924636840820312,321.02484130859375,63.682071685791016,398.65997314453125,0,0,0,0,0,0,0,0,left
2,0,1,0,0.2967529296875,3.5341796875,0.0,545.3441162109375,273.6070251464844,0,1,0,0.28060343861579895,0.0,0.0,451.55828857421875,416.64031982421875,0,0,0,0,0,0,0,0,forward
1,1,0,0,0.745867133140564,376.0799560546875,272.30157470703125,529.5128173828125,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
3,1,0,0,0.9029679894447327,212.8739013671875,397.000244140625,440.819580078125,480.0,1,0,0,0.7794115543365479,215.23712158203125,423.1684875488281,439.524169921875,479.3182067871094,1,0,0,0.5509486198425293,82.37445068359375,433.2785949707031,206.35098266601562,479.8132629394531,right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
2,0,1,0,0.43322259187698364,0.145233154296875,326.78863525390625,70.65985107421875,469.037841796875,0,1,0,0.2984651029109955,0.5109786987304688,329.90399169921875,70.29888153076172,405.96173095703125,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
